#############################################################################################################
# EtaMAID2016h eta photoproduction solutions | DATABASE: www.data.pwatuzla.com
# Reaction: gama p --> eta p
# Published: Tiator, L., Gorchtein, M., Kashevarov, V.L. et al. Eur. Phys. J. A (2018) 54: 210. 
############################################################################################################# 
   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1657.0   -5.339907  -2.119036    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.453586   0.484907    0.000000   0.000000    0.240830   1.382674   -1.372318  -0.351152    0.025381  -0.032473   -0.622920  -0.457172    0.182201  -0.033657   -0.376809  -0.374273   -0.035050  -0.003209   -0.139512   0.255635    0.045356   0.002090   -0.123267   0.181273   -0.001197  -0.004965   -0.005423   0.059533    0.000900  -0.024095   -0.000260   0.013243   -0.000189   0.000256    0.000021   0.000125    0.001097  -0.001044   -0.000067   0.000588
 1662.0   -5.084007  -1.990565    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.469994   0.473157    0.000000   0.000000    0.217959   1.386693   -1.335189  -0.469862    0.028778  -0.029704   -0.615195  -0.457130    0.200695  -0.016721   -0.370814  -0.354707   -0.035993  -0.003358   -0.157081   0.253139    0.046738   0.002220   -0.137909   0.179869   -0.001249  -0.005129   -0.005832   0.061767    0.001048  -0.025012   -0.000266   0.013818   -0.000206   0.000278    0.000017   0.000142    0.001175  -0.001116   -0.000060   0.000627
 1667.0   -4.863744  -1.865797    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.485144   0.460365    0.000000   0.000000    0.195550   1.389730   -1.269487  -0.574467    0.031648  -0.026168   -0.610204  -0.457501    0.216278   0.004294   -0.371706  -0.336182   -0.036921  -0.003513   -0.173868   0.247946    0.048113   0.002361   -0.152032   0.176445   -0.001299  -0.005293   -0.006263   0.064003    0.001206  -0.025928   -0.000274   0.014402   -0.000225   0.000301    0.000013   0.000161    0.001255  -0.001188   -0.000051   0.000668
 1672.0   -4.673915  -1.747916    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.498945   0.446713    0.000000   0.000000    0.173673   1.391992   -1.185661  -0.654279    0.033767  -0.022049   -0.607379  -0.459045    0.227724   0.028392   -0.378058  -0.320570   -0.037835  -0.003674   -0.189258   0.240281    0.049484   0.002513   -0.165168   0.171178   -0.001350  -0.005457   -0.006717   0.066237    0.001372  -0.026843   -0.000283   0.014994   -0.000244   0.000325    0.000007   0.000181    0.001337  -0.001262   -0.000041   0.000709
 1677.0   -4.509694  -1.638874    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.511334   0.432395    0.000000   0.000000    0.152355   1.393688   -1.097229  -0.707115    0.034998  -0.017612   -0.606043  -0.462153    0.234304   0.054133   -0.388164  -0.308800   -0.038733  -0.003842   -0.202730   0.230552    0.050849   0.002676   -0.176920   0.164380   -0.001399  -0.005620   -0.007194   0.068471    0.001548  -0.027756   -0.000295   0.015596   -0.000264   0.000350    0.000001   0.000203    0.001421  -0.001337   -0.000029   0.000752
 1682.0   -4.366778  -1.539695    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.522283   0.417607    0.000000   0.000000    0.131582   1.395024   -1.014584  -0.737847    0.035328  -0.013144   -0.605580  -0.466930    0.235942   0.079951   -0.400486  -0.301056   -0.039617  -0.004017   -0.213915   0.219295    0.052209   0.002852   -0.187013   0.156471   -0.001447  -0.005783   -0.007695   0.070704    0.001734  -0.028667   -0.000309   0.016208   -0.000285   0.000375   -0.000006   0.000227    0.001506  -0.001414   -0.000015   0.000795
 1687.0   -4.659292  -1.356849    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.531795   0.402543    0.000000   0.000000    0.111286   1.396197   -0.942732  -0.753921    0.034850  -0.008898   -0.605516  -0.473305    0.233159   0.104468   -0.413844  -0.297083   -0.040487  -0.004199   -0.222631   0.207112    0.053565   0.003041   -0.195316   0.147915   -0.001493  -0.005946   -0.008222   0.072936    0.001929  -0.029576   -0.000326   0.016829   -0.000307   0.000402   -0.000014   0.000252    0.001593  -0.001491    0.000000   0.000840
 1692.0   -5.030917  -1.116138    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.539925   0.387384    0.000000   0.000000    0.091025   1.397360   -0.882401  -0.761980    0.033731  -0.005052   -0.605502  -0.481144    0.226864   0.126725   -0.427418  -0.296443   -0.041341  -0.004387   -0.228881   0.194597    0.054917   0.003244   -0.201843   0.139171   -0.001538  -0.006109   -0.008775   0.075165    0.002135  -0.030483   -0.000346   0.017461   -0.000329   0.000429   -0.000023   0.000280    0.001682  -0.001570    0.000018   0.000887
 1697.0   -5.076288  -1.013380    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.546723   0.372299    0.000000   0.000000    0.070783   1.398636   -0.832214  -0.766695    0.032160  -0.001698   -0.605290  -0.490304    0.218099   0.146227   -0.440670  -0.298671   -0.042181  -0.004582   -0.232822   0.182275    0.056265   0.003461   -0.206729   0.130645   -0.001581  -0.006273   -0.009355   0.077392    0.002351  -0.031387   -0.000370   0.018103   -0.000353   0.000457   -0.000034   0.000309    0.001772  -0.001649    0.000037   0.000934
 1702.0   -5.051874  -0.957442    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.552266   0.357437    0.000000   0.000000    0.050479   1.400126   -0.790096  -0.770890    0.030316   0.001148   -0.604716  -0.500652    0.207839   0.162883   -0.453280  -0.303338   -0.043006  -0.004784   -0.234722   0.170566    0.057609   0.003693   -0.210199   0.122658   -0.001623  -0.006437   -0.009963   0.079616    0.002577  -0.032289   -0.000399   0.018757   -0.000377   0.000486   -0.000045   0.000341    0.001864  -0.001729    0.000059   0.000983
 1707.0   -4.998153  -0.926191    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.556648   0.342930    0.000000   0.000000    0.029975   1.401897   -0.754023  -0.776080    0.028342   0.003515   -0.603669  -0.512080    0.196880   0.176872   -0.465062  -0.310089   -0.043817  -0.004992   -0.234911   0.159771    0.058951   0.003940   -0.212523   0.115438   -0.001662  -0.006601   -0.010600   0.081838    0.002815  -0.033188   -0.000432   0.019421   -0.000402   0.000515   -0.000058   0.000374    0.001957  -0.001810    0.000083   0.001034
