   W        ReE0+      ImE0+         ReE0-      ImE0-      ReM0+      ImM0+       ReM0-      ImM0-       ReE1+      ImE1+       ReE1-      ImE1-       ReM1+      ImM1+       ReM1-      ImM1-       ReE2+      ImE2+       ReE2-      ImE2-       ReM2+      ImM2+      ReM2-      ImM2-        ReE3+      ImE3+       ReE3-      ImE3-       ReM3+      ImM3+       ReM3-      ImM3-       ReE4+      ImE4+       ReE4-      ImE4-      ReM4+      ImM4+        ReM4-      ImM4-       ReE5+      ImE5+       ReE5-      ImE5-       ReM5+      ImM5+       ReM5-      ImM5-                                           
 1642.00   -7.255557   0.250145    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.073687   0.085456    0.000000   0.000000    1.236625   0.655080   -0.139359  -0.006876    0.053248   0.069089   -0.781142  -0.180019    0.084441  -0.188423   -0.423583   0.148731    0.000871   0.000284    0.046977   0.244056    0.067442  -0.009152    0.108855   0.092660   -0.006437  -0.000885    0.000879   0.003951    0.000971  -0.003900    0.017288   0.003835   -0.000008  -0.000003    0.000358   0.000220    0.000501  -0.000432    0.000551   0.000153
 1647.00   -6.868798   0.131477    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.076869   0.086218    0.000000   0.000000    1.232531   0.664683   -0.130236  -0.114258    0.049698   0.072673   -0.728898  -0.208817    0.108027  -0.196523   -0.413414   0.134655    0.000914   0.000335    0.038197   0.255070    0.070524  -0.009193    0.105768   0.101677   -0.006543  -0.000922    0.000835   0.004206    0.001355  -0.004124    0.017829   0.004097   -0.000008  -0.000003    0.000389   0.000244    0.000551  -0.000471    0.000599   0.000166
 1652.00   -6.520170   0.055850    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.080039   0.086909    0.000000   0.000000    1.227170   0.674115   -0.108838  -0.229553    0.045643   0.075767   -0.672420  -0.226798    0.133597  -0.202066   -0.402147   0.122466    0.000958   0.000391    0.028043   0.265642    0.073640  -0.009199    0.101069   0.110344   -0.006646  -0.000961    0.000781   0.004467    0.001763  -0.004352    0.018371   0.004371   -0.000009  -0.000003    0.000422   0.000270    0.000605  -0.000513    0.000649   0.000179
 1657.00   -6.211390   0.012163    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.083195   0.087521    0.000000   0.000000    1.220555   0.683333   -0.072697  -0.351335    0.041202   0.078259   -0.614904  -0.232979    0.160575  -0.204522   -0.390381   0.112339    0.001005   0.000452    0.016520   0.275505    0.076785  -0.009170    0.094756   0.118246   -0.006744  -0.000999    0.000717   0.004734    0.002193  -0.004583    0.018917   0.004659   -0.000009  -0.000003    0.000455   0.000297    0.000663  -0.000558    0.000702   0.000192
 1662.00   -5.941635  -0.009498    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.086334   0.088043    0.000000   0.000000    1.212702   0.692295   -0.019359  -0.477468    0.036524   0.080073   -0.559693  -0.227683    0.188225  -0.203543   -0.378741   0.104202    0.001053   0.000519    0.003717   0.284379    0.079958  -0.009102    0.086966   0.124946   -0.006838  -0.001039    0.000642   0.005005    0.002646  -0.004818    0.019465   0.004959   -0.000009  -0.000003    0.000491   0.000327    0.000724  -0.000604    0.000758   0.000207
 1667.00   -5.708289  -0.017399    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.089450   0.088469    0.000000   0.000000    1.203634   0.700955    0.053403  -0.605024    0.031780   0.081185   -0.509645  -0.212416    0.215728  -0.199018   -0.367753   0.097762    0.001103   0.000591   -0.010191   0.292001    0.083157  -0.008997    0.077987   0.130040   -0.006928  -0.001078    0.000556   0.005281    0.003122  -0.005054    0.020016   0.005274   -0.000009  -0.000002    0.000527   0.000359    0.000789  -0.000653    0.000816   0.000222
 1672.00   -5.507675  -0.018022    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.092536   0.088791    0.000000   0.000000    1.193378   0.709269    0.147321  -0.730248    0.027133   0.081621   -0.466703  -0.189438    0.242277  -0.191093   -0.357763   0.092586    0.001155   0.000670   -0.024945   0.298169    0.086379  -0.008851    0.068243   0.133226   -0.007015  -0.001118    0.000458   0.005561    0.003620  -0.005293    0.020570   0.005602   -0.000010  -0.000002    0.000565   0.000393    0.000859  -0.000704    0.000878   0.000238
 1677.00   -5.335650  -0.016168    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.095584   0.089003    0.000000   0.000000    1.181966   0.717192    0.263315  -0.848632    0.022729   0.081456   -0.431788  -0.161232    0.267173  -0.180133   -0.348924   0.088204    0.001209   0.000756   -0.040233   0.302766    0.089623  -0.008665    0.058249   0.134351   -0.007098  -0.001159    0.000349   0.005844    0.004141  -0.005534    0.021127   0.005946   -0.000010  -0.000002    0.000605   0.000430    0.000932  -0.000757    0.000943   0.000254
 1682.00   -5.188043  -0.015188    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.098584   0.089099    0.000000   0.000000    1.169431   0.724679    0.401179  -0.955114    0.018676   0.080794   -0.404960  -0.130079    0.289887  -0.166663   -0.341217   0.084190    0.001264   0.000848   -0.055727   0.305780    0.092886  -0.008438    0.048541   0.133442   -0.007178  -0.001200    0.000227   0.006129    0.004685  -0.005776    0.021688   0.006305   -0.000010  -0.000001    0.000645   0.000470    0.001010  -0.000813    0.001011   0.000272
 1687.00   -5.304771   0.066318    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000   -0.101525   0.089077    0.000000   0.000000    1.155813   0.731687    0.558652  -1.044521    0.015041   0.079759   -0.385697  -0.097826    0.310085  -0.151288   -0.334515   0.080207    0.001321   0.000947   -0.071127   0.307296    0.096165  -0.008168    0.039603   0.130696   -0.007255  -0.001242    0.000092   0.006416    0.005250  -0.006020    0.022251   0.006679   -0.000010  -0.000000    0.000687   0.000512    0.001092  -0.000871    0.001082   0.000290
